LEAID,#schools,#students,district,state,Tier
4828620,4,1449.0,LYFORD CISD,TX,Tier 1
4828650,6,1760.0,LYTLE ISD,TX,Tier 1
4828680,6,3544.0,MABANK ISD,TX,Tier 2
4828710,4,2294.0,MADISONVILLE CISD,TX,Tier 2
4828740,17,13122.0,MAGNOLIA ISD,TX,Tier 4
4828780,6,1361.0,MALAKOFF ISD,TX,Tier 1
4828800,2,165.0,MALONE ISD,TX,Tier 1
4828830,1,219.0,MALTA ISD,TX,Tier 1
4828890,17,9238.0,MANOR ISD,TX,Tier 3
4828920,48,35127.0,MANSFIELD ISD,TX,Tier 4
4828980,1,60.0,MARATHON ISD,TX,Tier 1
4829010,7,4099.0,MARBLE FALLS ISD,TX,Tier 3
4829040,1,294.0,MARFA ISD,TX,Tier 1
4829100,5,1483.0,MARION ISD,TX,Tier 1
4829130,3,881.0,MARLIN ISD,TX,Tier 1
4829160,8,5064.0,MARSHALL ISD,TX,Tier 3
4829190,4,541.0,MART ISD,TX,Tier 1
4829220,3,457.0,MARTINS MILL ISD,TX,Tier 1
4829250,1,341.0,MARTINSVILLE ISD,TX,Tier 1
4829280,3,716.0,MASON ISD,TX,Tier 1
4829370,1,106.0,MATAGORDA ISD,TX,Tier 1
4829400,4,1504.0,MATHIS ISD,TX,Tier 1
4829460,1,478.0,MAUD ISD,TX,Tier 1
4829520,2,253.0,MAY ISD,TX,Tier 1
4829580,4,1161.0,MAYPEARL ISD,TX,Tier 1
4829670,33,21602.0,MCALLEN ISD,TX,Tier 4
4829700,3,494.0,MCCAMEY ISD,TX,Tier 1
4829760,3,334.0,MCDADE ISD,TX,Tier 1
4829820,5,1478.0,MCGREGOR ISD,TX,Tier 1
4829850,33,23398.0,MCKINNEY ISD,TX,Tier 4
4829880,1,201.0,MCLEAN ISD,TX,Tier 1
4829910,3,396.0,MCLEOD ISD,TX,Tier 1
4829940,1,267.0,MCMULLEN COUNTY ISD,TX,Tier 1
4830000,1,265.0,MEADOW ISD,TX,Tier 1
4830030,1,274.0,MEDINA ISD,TX,Tier 1
4830060,9,6134.0,MEDINA VALLEY ISD,TX,Tier 3
4830120,6,4104.0,MELISSA ISD,TX,Tier 3
4830180,4,443.0,MEMPHIS ISD,TX,Tier 1
4830210,2,279.0,MENARD ISD,TX,Tier 1
