LEAID,#schools,#students,district,state,Tier
100005,6,5842.0,Albertville City,AL,Tier 3
100006,15,5758.0,Marshall County,AL,Tier 3
100007,18,13640.0,Hoover City,AL,Tier 4
100008,11,11804.0,Madison City,AL,Tier 4
100009,5,0.0,Al Inst Deaf And Blind,AL,Tier 1
100011,4,2097.0,Leeds City,AL,Tier 2
100012,5,2431.0,Boaz City,AL,Tier 2
100013,5,4816.0,Trussville City,AL,Tier 3
100015,6,0.0,SafetyNet Academy Minter,AL,Tier 1
100016,1,0.0,Bryce Adolescent School,AL,Tier 1
100019,1,0.0,United Ability,AL,Tier 1
100020,1,0.0,Boyd School,AL,Tier 1
100021,1,0.0,BrewerPorch Childrens Center,AL,Tier 1
100022,1,0.0,Sequel TSI Courtland LLC,AL,Tier 1
100024,1,0.0,Sequel TSI New Beginnings LLC,AL,Tier 1
100026,1,0.0,Sequel TSI Tuskegee LLC,AL,Tier 1
100028,1,0.0,Triwill Portacras,AL,Tier 1
100030,5,2948.0,Alexander City,AL,Tier 2
100033,3,0.0,Glenwood Mental Health Service,AL,Tier 1
100035,4,0.0,The Little Tree Preschool  Auburn,AL,Tier 1
100036,1,0.0,Lee County Youth Development Center,AL,Tier 1
100037,1,0.0,BayPointe Residential Services,AL,Tier 1
100038,2,0.0,Pathway Inc,AL,Tier 1
100039,1,0.0,Presbyterian Home for Children,AL,Tier 1
100040,1,0.0,Brantwood Childrens Home,AL,Tier 1
100041,1,0.0,Developing Alabama Youth Prog,AL,Tier 1
100042,1,0.0,Laurel Oaks Behavioral Health Center,AL,Tier 1
100043,1,0.0,Southeastern Psychiaric Management Inc,AL,Tier 1
100060,3,1785.0,Andalusia City,AL,Tier 1
100090,7,1898.0,Anniston City,AL,Tier 1
100100,4,2609.0,Arab City,AL,Tier 2
100120,8,4538.0,Athens City,AL,Tier 3
100175,1,0.0,POINTE Academy LLC,AL,Tier 1
100176,8,0.0,JF Ingram State Technical College,AL,Tier 1
100178,2,0.0,Higdon Hill School,AL,Tier 1
100179,2,0.0,The Bridge,AL,Tier 1
100180,3,1470.0,Attalla City,AL,Tier 1
100181,1,0.0,Compass School,AL,Tier 1
100183,1,0.0,Alabama Clinical Schools,AL,Tier 1
100184,1,0.0,Excel Institute,AL,Tier 1
100185,4,3146.0,Saraland City,AL,Tier 2
100186,1,0.0,Father Purcell Center,AL,Tier 1
100187,1,0.0,Montgomery Childrens Specialty Center,AL,Tier 1
100188,4,1403.0,Chickasaw City,AL,Tier 1
100189,2,1511.0,Satsuma City,AL,Tier 1
100190,5,6187.0,Alabaster City,AL,Tier 3
100191,1,0.0,Evergreen School,AL,Tier 1
100192,1,0.0,Montgomery Public Schools MPS Classroom McInnis,AL,Tier 1
100193,1,0.0,St Marys Home,AL,Tier 1
100194,4,3402.0,Pelham City,AL,Tier 2
100195,4,2478.0,Pike Road City,AL,Tier 2
100197,1,331.0,Acceleration Day and Evening Academy,AL,Tier 1
100198,1,0.0,Sequel TSI Montgomery LLC,AL,Tier 1
100199,1,519.0,University Charter School,AL,Tier 1
100200,1,0.0,East Alabama Academy,AL,Tier 1
100201,1,259.0,Legacy Prep,AL,Tier 1
100202,3,2226.0,Gulf Shores City,AL,Tier 2
100203,2,458.0,LEAD Academy,AL,Tier 1
100204,2,417.0,i3 Academy,AL,Tier 1
100207,1,0.0,LIFE Academy,AL,Tier 1
100208,1,0.0,Breakthrough Charter School,AL,Tier 1
100209,1,0.0,Ivy Classical Academy,AL,Tier 1
100210,13,8971.0,Auburn City,AL,Tier 3
100211,1,0.0,Magic City Acceptance Academy,AL,Tier 1
100240,15,8955.0,Autauga County,AL,Tier 3
100270,46,29572.0,Baldwin County,AL,Tier 4
100300,3,687.0,Barbour County,AL,Tier 1
100330,9,3318.0,Bessemer City,AL,Tier 2
100360,9,3117.0,Bibb County,AL,Tier 2
100390,51,21597.0,Birmingham City,AL,Tier 4
100420,17,7756.0,Blount County,AL,Tier 3
100450,3,1192.0,Brewton City,AL,Tier 1
100480,4,1434.0,Bullock County,AL,Tier 1
100510,7,2959.0,Butler County,AL,Tier 2
100540,19,8104.0,Calhoun County,AL,Tier 3
100600,12,3386.0,Chambers County,AL,Tier 2
100630,8,3833.0,Cherokee County,AL,Tier 2
100660,14,7705.0,Chilton County,AL,Tier 3
100690,4,1126.0,Choctaw County,AL,Tier 1
100720,7,2271.0,Clarke County,AL,Tier 2
100750,4,1804.0,Clay County,AL,Tier 1
100780,9,2510.0,Cleburne County,AL,Tier 2
100810,4,2541.0,Coffee County,AL,Tier 2
100840,8,2618.0,Colbert County,AL,Tier 2
100870,8,1659.0,Conecuh County,AL,Tier 1
100900,2,777.0,Coosa County,AL,Tier 1
100930,9,2880.0,Covington County,AL,Tier 2
100960,4,2211.0,Crenshaw County,AL,Tier 2
100990,7,3170.0,Cullman City,AL,Tier 2
101020,28,9312.0,Cullman County,AL,Tier 3
101050,8,3208.0,Dale County,AL,Tier 2
101080,3,1138.0,Daleville City,AL,Tier 1
101110,12,2701.0,Dallas County,AL,Tier 2
101140,16,8525.0,DeKalb County,AL,Tier 3
101170,20,8781.0,Decatur City,AL,Tier 3
101200,4,2132.0,Demopolis City,AL,Tier 2
101230,18,8031.0,Dothan City,AL,Tier 3
101260,3,644.0,Elba City,AL,Tier 1
101290,16,11519.0,Elmore County,AL,Tier 4
101320,10,6644.0,Enterprise City,AL,Tier 3
101350,12,4121.0,Escambia County,AL,Tier 3
101380,24,8504.0,Etowah County,AL,Tier 3
101410,6,6428.0,Eufaula City,AL,Tier 3
101440,6,1552.0,Fairfield City,AL,Tier 1
101470,6,2178.0,Fayette County,AL,Tier 2
101530,9,4505.0,Florence City,AL,Tier 3
101560,5,3482.0,Fort Payne City,AL,Tier 2
101590,10,3602.0,Franklin County,AL,Tier 2
101620,15,4845.0,Gadsden City,AL,Tier 3
101640,3,1261.0,Geneva City,AL,Tier 1
101660,10,2638.0,Geneva County,AL,Tier 2
101680,5,953.0,Greene County,AL,Tier 1
101690,4,1824.0,Guntersville City,AL,Tier 1
101710,7,2390.0,Hale County,AL,Tier 2
101720,4,1627.0,Haleyville City,AL,Tier 1
101730,6,3546.0,Hartselle City,AL,Tier 2
101740,6,2472.0,Henry County,AL,Tier 2
101760,5,4200.0,Homewood City,AL,Tier 3
101770,16,6338.0,Houston County,AL,Tier 3
101800,46,23514.0,Huntsville City,AL,Tier 4
101830,18,5158.0,Jackson County,AL,Tier 3
101860,2,1654.0,Jacksonville City,AL,Tier 1
101890,5,2605.0,Jasper City,AL,Tier 2
101920,58,35336.0,Jefferson County,AL,Tier 4
101950,5,2269.0,Lamar County,AL,Tier 2
101980,3,966.0,Lanett City,AL,Tier 1
102010,10,8038.0,Lauderdale County,AL,Tier 3
102040,15,4712.0,Lawrence County,AL,Tier 3
102070,14,9310.0,Lee County,AL,Tier 3
102100,17,13041.0,Limestone County,AL,Tier 4
102130,3,502.0,Linden City,AL,Tier 1
102160,9,1241.0,Lowndes County,AL,Tier 1
102190,7,1871.0,Macon County,AL,Tier 1
102220,30,19142.0,Madison County,AL,Tier 4
102250,3,960.0,Marengo County,AL,Tier 1
102310,11,3255.0,Marion County,AL,Tier 2
102350,4,1022.0,Midfield City,AL,Tier 1
102370,92,52460.0,Mobile County,AL,Tier 4
102400,9,3152.0,Monroe County,AL,Tier 2
102430,52,27399.0,Montgomery County,AL,Tier 4
102480,19,7503.0,Morgan County,AL,Tier 3
102490,6,4441.0,Mountain Brook City,AL,Tier 3
102520,7,2801.0,Muscle Shoals City,AL,Tier 2
102550,3,1434.0,Oneonta City,AL,Tier 1
102580,9,4714.0,Opelika City,AL,Tier 3
102610,3,1275.0,Opp City,AL,Tier 1
102635,7,4176.0,Oxford City,AL,Tier 3
102640,6,2007.0,Ozark City,AL,Tier 2
102650,8,4028.0,Pell City,AL,Tier 3
102670,2,1153.0,Perry County,AL,Tier 1
102700,12,7265.0,Phenix City,AL,Tier 3
102730,7,2374.0,Pickens County,AL,Tier 2
102760,3,1155.0,Piedmont City,AL,Tier 1
102790,7,2177.0,Pike County,AL,Tier 2
102820,8,2029.0,Randolph County,AL,Tier 2
102850,4,1477.0,Roanoke City,AL,Tier 1
102880,8,3519.0,Russell County,AL,Tier 2
102910,5,2507.0,Russellville City,AL,Tier 2
102940,5,2442.0,Scottsboro City,AL,Tier 2
102970,11,2784.0,Selma City,AL,Tier 2
103000,4,1019.0,Sheffield City,AL,Tier 1
103030,31,20438.0,Shelby County,AL,Tier 4
103062,20,9407.0,St Clair County,AL,Tier 3
103090,5,1194.0,Sumter County,AL,Tier 1
103120,4,2091.0,Sylacauga City,AL,Tier 2
103150,7,1840.0,Talladega City,AL,Tier 1
103180,18,7034.0,Talladega County,AL,Tier 3
103210,6,2767.0,Tallapoosa County,AL,Tier 2
103240,3,1680.0,Tallassee City,AL,Tier 1
103270,3,1227.0,Tarrant City,AL,Tier 1
103300,3,1104.0,Thomasville City,AL,Tier 1
103330,4,1682.0,Troy City,AL,Tier 1
103360,20,10744.0,Tuscaloosa City,AL,Tier 4
103390,36,18766.0,Tuscaloosa County,AL,Tier 4
103420,6,1478.0,Tuscumbia City,AL,Tier 1
103430,9,7087.0,Vestavia Hills City,AL,Tier 3
103450,18,7176.0,Walker County,AL,Tier 3
103480,8,2612.0,Washington County,AL,Tier 2
103510,6,1400.0,Wilcox County,AL,Tier 1
103540,3,1280.0,Winfield City,AL,Tier 1
103580,10,2272.0,Winston County,AL,Tier 2
200001,29,4082.0,Lower Kuskokwim School District,AK,Tier 3
200003,11,2103.0,Lower Yukon School District,AK,Tier 2
200004,4,505.0,Yupiit School District,AK,Tier 1
200005,1,332.0,Kashunamiut School District,AK,Tier 1
200006,1,374.0,Mount Edgecumbe,AK,Tier 1
200007,4,228.0,Aleutians East Borough School District,AK,Tier 1
200010,2,25.0,Aleutian Region School District,AK,Tier 1
200020,15,1839.0,Bering Strait School District,AK,Tier 1
200030,3,114.0,Bristol Bay Borough School District,AK,Tier 1
200050,8,407.0,Alaska Gateway School District,AK,Tier 1
200060,3,292.0,Cordova City School District,AK,Tier 1
200070,5,401.0,Copper River School District,AK,Tier 1
200090,4,867.0,Craig City School District,AK,Tier 1
200100,5,775.0,Delta/Greely School District,AK,Tier 1
200120,3,411.0,Dillingham City School District,AK,Tier 1
200130,4,9366.0,Galena City School District,AK,Tier 3
200150,9,2161.0,Ketchikan Gateway Borough School District,AK,Tier 2
200180,99,41856.0,Anchorage School District,AK,Tier 4
200210,15,4124.0,Juneau Borough School District,AK,Tier 3
200240,6,1151.0,Sitka School District,AK,Tier 1
200270,3,266.0,Haines Borough School District,AK,Tier 1
200300,1,135.0,Hoonah City School District,AK,Tier 1
200330,2,164.0,Hydaburg City School District,AK,Tier 1
200360,1,99.0,Kake City School District,AK,Tier 1
200390,42,7962.0,Kenai Peninsula Borough School District,AK,Tier 3
200450,2,118.0,Klawock City School District,AK,Tier 1
200480,12,2294.0,Kodiak Island Borough School District,AK,Tier 2
200485,13,367.0,Lake and Peninsula Borough School District,AK,Tier 1
200510,47,18220.0,Matanuska-Susitna Borough School District,AK,Tier 4
200520,8,325.0,Iditarod Area School District,AK,Tier 1
200525,3,316.0,Annette Island School District,AK,Tier 1
200540,2,1909.0,Nenana City School District,AK,Tier 1
200570,4,691.0,Nome Public Schools,AK,Tier 1
200600,37,11386.0,Fairbanks North Star Borough School District,AK,Tier 4
200610,12,2138.0,North Slope Borough School District,AK,Tier 2
200625,13,2050.0,Northwest Arctic Borough School District,AK,Tier 2
200630,1,11.0,Pelican City School District,AK,Tier 1
200660,3,428.0,Petersburg Borough School District,AK,Tier 1
200670,2,65.0,Pribilof School District,AK,Tier 1
200680,1,216.0,Saint Mary's School District,AK,Tier 1
200690,1,144.0,Skagway School District,AK,Tier 1
200700,9,153.0,Southeast Island School District,AK,Tier 1
200710,8,652.0,Southwest Region School District,AK,Tier 1
200715,1,30.0,Tanana City School District,AK,Tier 1
200720,2,387.0,Unalaska City School District,AK,Tier 1
200730,4,143.0,Chatham School District,AK,Tier 1
200760,9,387.0,Kuspuk School District,AK,Tier 1
200770,4,1206.0,Denali Borough School District,AK,Tier 1
200775,7,206.0,Yukon Flats School District,AK,Tier 1
200780,4,692.0,Valdez City School District,AK,Tier 1
200800,4,694.0,Chugach School District,AK,Tier 1
200810,3,181.0,Wrangell Public School District,AK,Tier 1
200840,2,93.0,Yakutat School District,AK,Tier 1
200862,11,4331.0,Yukon-Koyukuk School District,AK,Tier 3
400001,9,4837.0,Cave Creek Unified District (4244),AZ,Tier 3
400003,4,2206.0,Chino Valley Unified District (4474),AZ,Tier 2
400004,1,444.0,Clarkdale-Jerome Elementary District (4486),AZ,Tier 1
400005,1,104.0,Salome Consolidated Elementary District (4514),AZ,Tier 1
400016,5,949.0,Center for Academic Success Inc. (4191),AZ,Tier 1
400018,1,196.0,Pine Forest Education Association Inc. (4201),AZ,Tier 1
400019,1,267.0,Flagstaff Arts And Leadership Academy (4202),AZ,Tier 1
400020,1,42.0,Flagstaff Montessori L.L.C. (4205),AZ,Tier 1
400021,4,578.0,Colorado City Unified District (4370),AZ,Tier 1
400022,1,94.0,Vernon Elementary District (4162),AZ,Tier 1
400023,4,994.0,Pinon Unified District (4390),AZ,Tier 1
400026,4,462.0,Heber-Overgaard Unified District (4392),AZ,Tier 1
400028,1,100.0,Triumphant Learning Center (4225),AZ,Tier 1
400031,1,908.0,Ridgeline Academy Inc. (4301),AZ,Tier 1
400033,1,228.0,Boys & Girls Clubs of the East Valley dba Mesa Art (4305),AZ,Tier 1
400034,1,748.0,Reid Traditional Schools' Valley Academy Inc. (4306),AZ,Tier 1
400037,2,157.0,Twenty First Century Charter School Inc. Bennett  (4310),AZ,Tier 1
400040,1,45.0,STEP UP Schools Inc. (4313),AZ,Tier 1
400041,1,280.0,Maricopa County Community College District dba Gat (4314),AZ,Tier 1
400043,1,164.0,New School For The Arts (4316),AZ,Tier 1
400047,1,49.0,Salt River Pima-Maricopa  Community Schools (4320),AZ,Tier 1
400052,1,361.0,Espiritu Community Development Corp. (4335),AZ,Tier 1
400053,3,1455.0,Heritage Academy Inc. (4336),AZ,Tier 1
400054,1,487.0,Villa Montessori Charter School (4339),AZ,Tier 1
400055,1,33.0,EduPreneurship Inc. (4341),AZ,Tier 1
400056,1,839.0,Arizona School For The Arts (4345),AZ,Tier 1
400057,1,78.0,Arizona Call-a-Teen Youth Resources Inc. (4346),AZ,Tier 1
400061,1,100.0,Intelli-School Inc. (4352),AZ,Tier 1
400065,4,2703.0,Benjamin Franklin Charter School - Queen Creek (4355),AZ,Tier 2
400067,1,22.0,Victory High School Inc. (4358),AZ,Tier 1
400068,2,275.0,Montessori Day Public Schools Chartered Inc. (4359),AZ,Tier 1
400069,1,150.0,Khalsa Montessori Elementary Schools (4360),AZ,Tier 1
400070,1,434.0,Tempe Preparatory Academy (4361),AZ,Tier 1
400071,1,238.0,Bright Beginnings School Inc. (4362),AZ,Tier 1
400072,2,450.0,Montessori Education Centre Charter School (4363),AZ,Tier 1
400074,4,1361.0,Kingman Academy Of Learning (4383),AZ,Tier 1
400075,1,417.0,Young Scholars Academy Charter School Corp. (4385),AZ,Tier 1
400077,1,44.0,Career Development Inc. (4400),AZ,Tier 1
400078,2,153.0,Edge School Inc. The (4421),AZ,Tier 1
400079,2,443.0,Tucson Youth Development/ACE Charter High School (4422),AZ,Tier 1
400081,1,397.0,Presidio School (4425),AZ,Tier 1
400082,3,1809.0,Colorado River Union High School District (4381),AZ,Tier 1
400083,7,629.0,Portable Practical Educational Preparation Inc. ( (4431),AZ,Tier 1
400089,1,141.0,Sedona Charter School Inc. (4492),AZ,Tier 1
400090,1,33.0,Mingus Springs Charter School (4493),AZ,Tier 1
400092,1,426.0,Franklin Phonetic Primary School Inc. (4495),AZ,Tier 1
400093,1,216.0,Skyview School Inc. (4496),AZ,Tier 1
400094,1,101.0,Az-Tec High School (4508),AZ,Tier 1
400095,1,104.0,Yuma Private Industry Council Inc. (4509),AZ,Tier 1
400096,1,189.0,Mountain School Inc. (4203),AZ,Tier 1
400097,1,633.0,Northland Preparatory Academy (4204),AZ,Tier 1
400098,1,302.0,Flagstaff Junior Academy (4207),AZ,Tier 1
400099,1,79.0,Liberty High School (4216),AZ,Tier 1
400100,1,628.0,Ball Charter Schools (Hearn) (4294),AZ,Tier 1
400102,1,337.0,Friendly House Inc. (4303),AZ,Tier 1
400103,8,1663.0,Ombudsman Educational Services Ltd.a subsidiary  (4323),AZ,Tier 1
400105,1,0.0,Hillcrest Academy Inc. (4328),AZ,Tier 1
400106,1,324.0,Arizona Agribusiness & Equine Center Inc. (4331),AZ,Tier 1
400107,2,320.0,International Commerce Secondary Schools Inc. (4334),AZ,Tier 1
400108,2,248.0,Humanities and Sciences Academy of the United Stat (4337),AZ,Tier 1
400109,1,180.0,Phoenix Advantage Charter School Inc. (4338),AZ,Tier 1
400111,1,275.0,Allen-Cochran Enterprises Inc. (4347),AZ,Tier 1
400112,11,10776.0,American Leadership Academy Inc. (4348),AZ,Tier 4
400113,1,49.0,Fountain Hills Charter School (4356),AZ,Tier 1
400115,1,202.0,Hermosa Montessori Charter School (4426),AZ,Tier 1
400121,1,168.0,Accelerated Learning Center Inc. (4297),AZ,Tier 1
400122,1,291.0,Acclaim Charter School (4325),AZ,Tier 1
400124,1,51.0,Genesis Program Inc. (4332),AZ,Tier 1
400125,1,0.0,Luz Academy of Tucson Inc (4427),AZ,Tier 1
400126,2,104.0,Montessori Schoolhouse of Tucson Inc. (4428),AZ,Tier 1
400129,1,233.0,Accelerated Elementary and Secondary Schools (6364),AZ,Tier 1
400130,2,327.0,Edkey Inc. dba American Heritage Academy  (6365),AZ,Tier 1
400131,5,628.0,The Charter Foundation Inc. (6355),AZ,Tier 1
400134,1,813.0,BASIS Charter Schools Inc. (6361),AZ,Tier 1
400135,1,459.0,Challenge School Inc. (6362),AZ,Tier 1
400141,1,108.0,Discovery Plus Academy (6357),AZ,Tier 1
400144,1,90.0,Florence Crittenton Services of Arizona Inc. (4300),AZ,Tier 1
400145,1,80.0,Gem Charter School Inc. (6372),AZ,Tier 1
400147,1,122.0,Ha:san Educational Services (6369),AZ,Tier 1
400149,2,595.0,Kaizen Education Foundation dba El Dorado High Sch (4342),AZ,Tier 1
400150,2,239.0,Mexicayotl Academy Inc. (4463),AZ,Tier 1
400151,1,162.0,New Horizon School for the Performing Arts (4366),AZ,Tier 1
400153,1,88.0,Phoenix School of Academic Excellence The (6379),AZ,Tier 1
400154,1,82.0,Shonto Governing Board of Education Inc. (6353),AZ,Tier 1
400157,2,5703.0,Edkey Inc. - Sequoia Choice Schools (4329),AZ,Tier 3
400159,1,142.0,Tucson Preparatory School (6374),AZ,Tier 1
400163,3,78.0,Coconino County Accommodation School District (10386),AZ,Tier 1
400165,1,194.0,Keystone Montessori Charter School Inc. (10878),AZ,Tier 1
400181,1,434.0,Benchmark School Inc. (10972),AZ,Tier 1
400182,2,365.0,Cambridge Academy  East  Inc (78888),AZ,Tier 1
400184,1,484.0,Ball Charter Schools (Dobson) (79204),AZ,Tier 1
400185,1,91.0,Phoenix Education Management LLC (4340),AZ,Tier 1
400187,1,215.0,Stepping Stones Academy (10966),AZ,Tier 1
400190,2,481.0,Liberty Traditional Charter School (10968),AZ,Tier 1
400191,3,1310.0,Fit Kids Inc. dba Champion Schools (78783),AZ,Tier 1
400197,19,88.0,Northern Arizona Vocational Institute of Technolog (78786),AZ,Tier 1
400201,1,64.0,Pima County (4420),AZ,Tier 1
400202,3,578.0,Academy of Tucson Inc. (78897),AZ,Tier 1
400204,1,257.0,Mountain Rose Academy Inc. (10879),AZ,Tier 1
400205,1,231.0,Great Expectations Academy (10974),AZ,Tier 1
400208,1,86.0,Mountain Oak Charter School Inc. (78873),AZ,Tier 1
400209,2,117.0,Park View School Inc. (10970),AZ,Tier 1
400210,1,61.0,Painted Pony Ranch Charter School (10967),AZ,Tier 1
400211,1,267.0,Mary Ellen Halvorson Educational Foundation. dba:  (10965),AZ,Tier 1
400212,5,1214.0,Benson Unified School District (79226),AZ,Tier 1
400213,1,102.0,Painted Desert Demonstration Projects Inc. (79086),AZ,Tier 1
400217,1,159.0,Little Lamb Community School (79050),AZ,Tier 1
400218,1,737.0,American Basic Schools LLC (79215),AZ,Tier 1
400219,4,1025.0,Career Success Schools (79047),AZ,Tier 1
400221,1,268.0,Kaizen Education Foundation dba South Pointe Eleme (79233),AZ,Tier 1
400223,2,618.0,Daisy Education Corporation dba Sonoran Science Ac (79049),AZ,Tier 1
400225,1,714.0,Horizon Community Learning Center Inc. (79264),AZ,Tier 1
400227,1,171.0,Kaizen Education Foundation dba South Pointe Junio (78965),AZ,Tier 1
400229,1,234.0,Milestones Charter School (79207),AZ,Tier 1
400230,1,490.0,Pathfinder Charter School Foundation (79024),AZ,Tier 1
400231,1,180.0,James Madison Preparatory School (79063),AZ,Tier 1
400232,2,507.0,Self Development Charter School (79072),AZ,Tier 1
400235,1,257.0,Excalibur Charter Schools Inc. (79214),AZ,Tier 1
400237,1,229.0,Paramount Education Studies Inc (79205),AZ,Tier 1
400238,1,250.0,Metropolitan Arts Institute Inc. (5181),AZ,Tier 1
400239,1,1036.0,P.L.C. Charter Schools (6235),AZ,Tier 1
400241,2,2685.0,Paragon Management Inc. (5180),AZ,Tier 2
400243,1,171.0,Skyline Schools Inc. (79084),AZ,Tier 1
400244,2,790.0,Edkey Inc. - Sequoia Charter School (6446),AZ,Tier 1
400246,3,412.0,Edkey Inc. - Sequoia Village School (79211),AZ,Tier 1
400248,2,273.0,Telesis Center for Learning Inc. (79218),AZ,Tier 1
400254,2,146.0,Southern Arizona Community Academy Inc. (79000),AZ,Tier 1
400255,1,575.0,Tucson Country Day School Inc. (79073),AZ,Tier 1
400258,1,50.0,Carden of Tucson Inc. (78858),AZ,Tier 1
400259,2,471.0,Southgate Academy Inc. (79085),AZ,Tier 1
400261,1,494.0,Eastpointe High School Inc. (78833),AZ,Tier 1
400263,1,29.0,Patagonia Montessori Elementary School (79069),AZ,Tier 1
400264,1,62.0,Santa Cruz Valley Opportunities in Education Inc. (79066),AZ,Tier 1
400266,1,93.0,PACE Preparatory Academy Inc. (79068),AZ,Tier 1
400267,1,25.0,Kestrel Schools Inc. (79065),AZ,Tier 1
400268,1,873.0,Juniper Tree Academy (79064),AZ,Tier 1
400273,2,1674.0,GAR LLC dba Student Choice High School (78997),AZ,Tier 1
400274,1,93.0,AIBT Non-Profit Charter High School - Phoenix (79053),AZ,Tier 1
400275,1,54.0,Highland Free School (79061),AZ,Tier 1
400276,1,118.0,Academy with Community Partners  Inc (79213),AZ,Tier 1
400278,1,21.0,Deer Valley Charter Schools Inc. (79496),AZ,Tier 1
400279,1,34.0,West Gilbert Charter Elementary School Inc. (79497),AZ,Tier 1
400280,1,495.0,Mohave Accelerated Learning Center (79498),AZ,Tier 1
400281,1,478.0,Masada Charter School Inc. (79499),AZ,Tier 1
400282,3,1685.0,Harvest Power Community Development Group Inc. (79501),AZ,Tier 1
400284,1,278.0,Omega Alpha Academy (79503),AZ,Tier 1
400288,1,161.0,Premier Charter High School (79569),AZ,Tier 1
400290,1,1078.0,Pan-American Elementary Charter (79578),AZ,Tier 1
400295,14,6651.0,Kingman Unified School District (79598),AZ,Tier 3
400296,1,0.0,El Centro for the Study of Primary and Secondary E (79640),AZ,Tier 1
400299,1,0.0,Visions Unlimited Academy Inc. (79671),AZ,Tier 1
400303,1,1493.0,North Star Charter School Inc. (79701),AZ,Tier 1
400310,1,444.0,Calibre Academy (79055),AZ,Tier 1
400311,7,488.0,E-Institute Charter Schools Inc. (79059),AZ,Tier 1
400315,2,97.0,Yavapai Accommodation School District (79379),AZ,Tier 1
400316,8,5.0,Cobre Valley Institute of Technology District (79391),AZ,Tier 1
400317,1,261.0,Khalsa Family Services (79420),AZ,Tier 1
400318,1,237.0,Aprender Tucson (79426),AZ,Tier 1
400320,2,492.0,Acorn Montessori Charter School (79437),AZ,Tier 1
400321,2,114.0,Pinnacle Education-WMCB Inc. (79439),AZ,Tier 1
400322,1,168.0,Desert Rose AcademyInc. (79441),AZ,Tier 1
400323,1,348.0,Crown Charter School Inc (79443),AZ,Tier 1
400326,1,904.0,Success School (79453),AZ,Tier 1
400327,3,735.0,Pointe Schools (79455),AZ,Tier 1
400329,1,7046.0,American Virtual Academy (79461),AZ,Tier 3
400330,1,352.0,Compass High School Inc. (79467),AZ,Tier 1
400332,1,49.0,James Sandoval Preparatory High School (79475),AZ,Tier 1
400339,1,325.0,Destiny School Inc. (6258),AZ,Tier 1
400340,1,746.0,Noah Webster Schools - Mesa (10760),AZ,Tier 1
400341,7,14.0,Valley Academy for Career and Technology Education (79397),AZ,Tier 1
400343,2,178.0,Griffin Foundation Inc. The (79500),AZ,Tier 1
400345,13,7.0,Cochise Technology District (79403),AZ,Tier 1
400347,13,17.0,Coconino Association for Vocation Industry and Tec (79381),AZ,Tier 1
400348,10,49.0,Central Arizona Valley Institute of Technology (79385),AZ,Tier 1
400349,9,16.0,Gila Institute for Technology (79387),AZ,Tier 1
400350,1,114.0,PEAK School Inc. The (79866),AZ,Tier 1
400351,1,33.0,Kaizen Education Foundation dba Vista Grove Prepar (79871),AZ,Tier 1
400352,1,144.0,American Charter Schools Foundation d.b.a. Estrell (79873),AZ,Tier 1
400353,1,407.0,American Charter Schools Foundation d.b.a. Peoria  (79875),AZ,Tier 1
400354,1,258.0,American Charter Schools Foundation d.b.a. Sun Val (79877),AZ,Tier 1
400355,1,382.0,American Charter Schools Foundation d.b.a. West Ph (79879),AZ,Tier 1
400356,1,228.0,Nosotros Inc (79881),AZ,Tier 1
400357,1,129.0,American Charter Schools Foundation d.b.a. Apache  (79883),AZ,Tier 1
400359,1,337.0,Challenger Basic School Inc. (79886),AZ,Tier 1
400361,3,1985.0,Arizona Community Development Corporation (79947),AZ,Tier 1
400363,1,85.0,SC Jensen Corporation Inc. dba Intelli-School (79951),AZ,Tier 1
400364,2,181.0,PAS Charter Inc. dba Intelli-School (79953),AZ,Tier 1
400366,1,273.0,Valley of the Sun Waldorf Education Association d (79957),AZ,Tier 1
400367,2,131.0,Pima Prevention Partnership dba Pima Partnership S (79959),AZ,Tier 1
400368,2,634.0,Academy of Mathematics and Science Inc. (79961),AZ,Tier 1
400370,1,101.0,Midtown Primary School (79994),AZ,Tier 1
400373,4,505.0,Tucson International Academy Inc. (79979),AZ,Tier 1
400374,1,321.0,Bell Canyon Charter School Inc (79983),AZ,Tier 1
400376,1,238.0,Cortez Park Charter Middle School Inc. (79988),AZ,Tier 1
400377,1,15.0,West Gilbert Charter Middle School Inc. (79990),AZ,Tier 1
400381,2,150.0,Carpe Diem Collegiate High School (80001),AZ,Tier 1
400382,1,150.0,CPLC Community Schools dba Toltecalli High School (80032),AZ,Tier 1
400384,1,215.0,American Charter Schools Foundation d.b.a. Desert  (79872),AZ,Tier 1
400385,1,189.0,American Charter Schools Foundation d.b.a. Crestvi (79874),AZ,Tier 1
400386,1,204.0,Kaizen Education Foundation dba Summit High School (79876),AZ,Tier 1
400387,1,52.0,Kaizen Education Foundation dba Tempe Accelerated  (79878),AZ,Tier 1
400388,1,153.0,Kaizen Education Foundation dba Skyview High Schoo (79880),AZ,Tier 1
400389,1,336.0,Kaizen Education Foundation dba Maya High School (79882),AZ,Tier 1
400390,1,540.0,Camelback Education Inc (79905),AZ,Tier 1
400391,1,9.0,Vista Charter School (79907),AZ,Tier 1
400394,1,68.0,Avondale Learning dba Precision Academy (79929),AZ,Tier 1
400395,4,892.0,LEAD Charter Schools (79967),AZ,Tier 1
400396,1,101.0,All Aboard Charter School (79969),AZ,Tier 1
